Nom,Viet
𠯻𠯻拙祿𢫝𣘃,Ào ào trút lộc rung cây
於𥪞羕固香𢒎𠃣𡗉,Ở trong dường có hương bay ít nhiều
提澄𦰟𫗄吝蹺,Đè chừng ngọn gió lần theo
𨁪𩌂曾𨀈印𧄈伶伶,Dấu giày từng bước in rêu rành rành
𩈘𥆾埃乃調驚,Mặt nhìn ai nấy đều kinh
娘浪尼寔精誠拯賒,"Nàng rằng: ""Này thật tinh thành chẳng xa"
有情些吏﨤些,Hữu tình ta lại gặp ta
𠤆泥幽顯買𱺵姉㛪,Chớ nề u hiển mới là chị em”.
㐌𢚸顕現朱䀡,Đã lòng hiển hiện cho xem
謝𢚸娘吏𫃤添𠄽𠳒,Tạ lòng nàng lại nối thêm vài lời
𢚸䜹淶𣼽徘徊,Lòng thơ lai láng bồi hồi
㭲𣘃吏拍𱥺排古詩,Gốc cây lại vạch một bài cổ thi
用浪姅於姅𧗱,Dùng dằng nửa ở nửa về
樂鐄兜㐌㗂𦖑𧵆𧵆,Nhạc vàng đâu đã tiếng nghe gần gần
𬂙澄𧡊𱥺文人,Trông chừng thấy một văn nhân
弄𢭾𢬣叩𨀈吝𨤵氷,Lỏng buông tay khấu bước lần dặm băng
提携𠦻襊𫗄𦝄,Đề huề lưng túi gió trăng
𡢐蹎蹺𱥺𠄽𠊟𡥵𡥵,Sau chân theo một vài thằng con con
雪印色馭駒𣆱,Tuyết in sắc ngựa câu dòn
𦹵坡味襖染𡽫䏧𡗶,Cỏ pha mùi áo nhuộm non da trời
𡑩賒買𤍊𩈘𠊛,Nẻo xa mới tỏ mặt người
客它𫴋馭細坭敘情,Khách đà xuống ngựa tới nơi tự tình
鞋文吝𨀈𨤵撑,Hài văn lần bước dặm xanh
𱥺𡓄如体𣘃瓊梗瑤,Một vùng như thể cây quỳnh cành dao
払王悁𩈘𫥨嘲,Chàng Vương quen mặt ra chào
𠄩喬𠲖戾納𠓨𤲂花,Hai Kiều e lệ nép vào dưới hoa
原𠊛𨒺橘兜賒,Nguyên người quanh quất đâu xa
户金𠸜重本茄簪纓,Họ Kim tên Trọng vốn nhà trâm anh
𡋂富厚堛才名,"Nền phú hậu, bực tài danh"
文章󰞺坦聰明性𡗶,"Văn chương nết đất, thông minh tính trời"
丰姿才貌捽撝,Phong tư tài mạo tót vời
𠓨𥪞風雅𫥨外豪花,Vào trong phong nhã ra ngoài hào hoa
終𨒺刎坦渃茄,Chung quanh vẫn đất nước nhà
貝王觀𠓀刎𱺵窗親,Với Vương Quan trước vẫn là song thân
刎𦖑𦹳𠽋香鄰,Vẫn nghe thơm nức hương lân
𱥺𡋂銅雀鎖春𠄩喬,Một nền Đồng Tước khoá xuân hai Kiều
渃𡽫隔𱥯𢩣桃,Nước non cách mấy buồng điều
仍𱺵濫唒󰠐夭祝蒙,Những là trộm dấu thầm yêu chốc mòng
枚台邂逅相逢,May thay giải cấu tương phùng
﨤旬𧺃𦲿妥𢚸尋花,Gặp tuần đỏ lá thoả lòng tìm hoa.
𩃳紅落𧡊𡑩賒,Bóng hồng nhác thấy nẻo xa
春蘭秋菊𪉽麻奇堆,Xuân lan thu cúc mặn mà cả đôi
𠊛國色几天才,Người quốc sắc kẻ thiên tài
情𥪞如㐌𩈘外羣𠲖,Tình trong như đã mặt ngoài còn e
執廛干醒干迷,Chập chờn cơn tỉnh cơn mê
󰟱𡓮拯便𠞹𧗱㐱坤,Rốn ngồi chẳng tiện dứt về chỉn khôn
𩃳斜如𠽖干𢞂,Bóng tà như giục cơn buồn
客它𨖲馭𠊛群𥊘蹺,Khách đà lên ngựa người còn ghé theo
𤲂捄渃沚𤄯𤅜,Dưới cầu nước chảy trong veo
边捄絲柳𩃳朝𱺵他,Bên cầu tơ liễu bóng chiều la tha
翹自𧿨𨃴帳花,Kiều từ trở gót trướng hoa
𩈘𡗶閣𡶀鉦它收空,Mặt trời gác núi chiêng đà thu không
𤗖𦝄隻隻𥉰窗,Mảnh trăng chênh chếch dòm song
鐄招底渃𣘃篭𩃳𡑝,Vàng gieo đáy nước cây lồng bóng sân
海棠也𦰟東鄰,Hải đường rã ngọn đông lân
湥霜撩𱴸梗春𱺵陀,Giọt sương treo nặng cành xuân la đà
𱥺命𣼽𥋴𩃳娥,Một mình lặng ngắm bóng nga
𡀷塘𧵆貝餒賒排排,Rộn đường gần với nỗi xa bời bời
𠊛麻旦世時催,Người mà đến thế thì thôi
𠁀繁花拱𱺵𠁀補𠫾,Đời phồn hoa cũng là đời bỏ đi
𠊛兜﨤𫽻爫之,Người đâu gặp gỡ làm chi
𤾓𫷜別固緣咦𫨩空,Trăm năm biết có duyên gì hay không
袞昂𤾓䋦边𢚸,Ngổn ngang trăm mối bên lòng
𢧚勾絶妙寓𥪞性情,Nên câu tuyệt diệu ngụ trong tính tình
征征𩃳月熾𢅆,Chênh chênh bóng nguyệt xế mành
𢭸𢭗边篆𱥺命燒燒,Tựa nương bên triện một mình thiu thiu
脱兜𧡊𱥺小嬌,Thoắt đâu thấy một tiểu kiều
固朝風韻固朝清新,Có chiều phong vận có chiều thanh tân
霜印𩈘雪坡身,Sương in mặt tuyết pha thân
蓮鐄朗蕩如𧵆如賒,Sen vàng lãng đãng như gần như xa
逴𢜠噋𠳨𠻀𱺵,Rước mừng đón hỏi dò la
桃源落𫮇兜麻旦低,"""Đào nguyên lạc lối đâu mà đến đây"
𠽔浪声氣𠸗󰅒,Thưa rằng: “Thanh khí xưa nay
買共𠑬𣅶班𣈗㐌𫺴,Mới cùng nhau lúc ban ngày đã quên
寒家於𠃅西阡,Hàn gia ở mé tây thiên
𤲂𣳔渃沚边𨕭固捄,Dưới dòng nước chảy bên trên có cầu
𱥯𢚸下顧旦𠑬,Mấy lòng hạ cố đến nhau
𱥯𠳒下賜捻珠招鐄,Mấy lời hạ tứ ném châu gieo vàng
𠳐呈會主䀡詳,Vâng trình hội chủ xem tường
麻牢𥪞數斷腸固𠸜,Mà sao trong sổ đoạn trường có tên
歐仃果刧因緣,Âu đành quả kiếp nhân duyên
共𠊛𱥺會𱥺船兜賒,Cùng người một hội một thuyền đâu xa
尼𨑮排買買𫥨,Này mười bài mới mới ra
勾神吏摱筆花𤳰撝,"Câu thần lại mượn bút hoa vẽ vời""."
翹𠳐領意題排,Kiều vâng lãnh ý đề bài
𢬣仙𱥺捤𲄋𨑮曲吟,Tay tiên một vẫy đủ mười khúc ngâm
䀡詩𠽋𠴑𠸦󰠐,Xem thơ nức nở khen thầm
價仃繡口錦心恪常,"""Giá đành tú khẩu cẩm tâm khác thường"
啻󰝂𠓨集斷腸,Ví đem vào tập đoạn trường
時撩解一之讓朱埃,"Thì treo giải nhất chi nhường cho ai""."
㙴花客㐌阻鞋,Thềm hoa khách đã trở hài
娘羣扲吏𱥺𠄩敘情,Nàng còn cầm lại một hai tự tình
𫗄兜摳幅萌萌,Gió đâu khua bức mành mành
醒𫥨買別浪命占包,Tỉnh ra mới biết rằng mình chiêm bao
𬂙蹺芇𧡊兜芇,Trông theo nào thấy đâu nào
香乘𱻌唉𫥨𠓨兜低,Hương thừa dường hãy ra vào đâu đây
𱥺命量慮更迡,Một mình lượng lự canh chầy
塘賒𢪀餒𡢐尼麻驚,Đường xa nghĩ nỗi sau này mà kinh
花㵢䕯𣼸㐌仃,Hoa trôi bèo giạt đã đành
別緣命別分命世催,Biết duyên mình biết phận mình thế thôi
餒𥢅笠笠㳥𣼭,Nỗi riêng lớp lớp sóng giồi
𢪀𠾕干吏湥洡𠾕干,Nghĩ đòi cơn lại sụt sùi đòi cơn
𠰩嬌廛𠯇帳鵉,Giọng kiều rền rĩ trướng loan
茄萱秩醒𠳨干據咦,Nhà huyên chợt tỉnh hỏi cơn cớ gì
據牢陳濁更𣅙,"""Cớ sao trằn trọc canh khuya"
牟花梨唉潭𣾸湥湄,Màu hoa lê hãy đầm đìa giọt mưa”.
𠽔浪𡭧分𬏝疎,"Thưa rằng: ""Chút phận ngây thơ"
養生堆女𩯀絲猪𡊰,Dưỡng sinh đôi nợ tóc tơ chưa đền
𣇜𣈜𨔈𡏢淡仙,Buổi ngày chơi mả Đạm Tiên
𥃱𠫾脱𧡊應連占包,Nhắp đi thoắt thấy ứng liền chiêm bao
断腸𱺵数世芇,Đoạn trường là số thế nào
排𫥨世意詠𠓨世箕,Bài ra thế ấy vịnh vào thế kia
據𥪞夢兆麻推,Cứ trong mộng triệu mà suy
身𡥵催固𫥨咦𣈕𡢐,Thân con thôi có ra gì mai sau”.
𠰺浪夢幻聀兜,"Dạy rằng: ""Mộng huyễn chắc dâu"
俸空模𱞐卓愁𢪀㝹,Bỗng không mua não chác sầu nghĩ nao”.
𠳐𠳒勸解湿高,Vâng lời khuyên giải thấp cao
渚双條𢪀吏𤁓脈湘,Chưa xong điều nghĩ lại dào mạch tương
外窗兔𠱈莺鐄,Ngoài song thỏ thẻ oanh vàng
腋墻芃柳𢒎𨖅𱏃𫣂,Nách tường bông liễu bay sang láng giềng
軒斜搁𩃳迎迎,Hiên tà gác bóng nghiêng nghiêng
餒𥢅𥢅𢤜𡬷𥢅𱥺命,Nỗi riêng riêng chạnh tấc riêng một mình
朱𫨩𱺵𥠭有情,Cho hay là giống hữu tình
妬埃𱠆䋦絲萌朱双,Đố ai gỡ mối tơ mành cho xong
払金自吏書󰏻,Chàng Kim từ lại thư song
餒娘更更边𢚸怲𢚹,Nỗi nàng canh cánh bên lòng biếng khuây
愁𣁲強拔強𣹓,Sầu đong càng gạt càng đầy
𠀧秋扽吏𱥺𣈗𨱽𡃊,Ba thu dồn lại một ngày dài ghê
𩄲秦錁謹󰏻𦂛,Mây Tần khoá kín song the
𩃳紅料𡑩𠫾𧗱占包,Bóng hồng liệu nẻo đi về chiêm bao
旬𦝄鈌𥒃油耗,"Tuần trăng khuyết, đĩa dầu hao"
𩈘思想𩈘𢚸嗷喭𢚸,Mặt tơ tưởng mặt lòng ngao ngán lòng
𢩣文唏這如銅,Buồng văn hơi giá như đồng
竹車𣰏兔絲重泛鵉,Trúc se ngòi thỏ tơ chùng phím loan
𢅆湘拂拂𫗄弹,Mành tương phơn phớt gió đàn
香𨢟味𢖵茶看喠情,Hương gây mùi nhớ trà khan giọng tình
啻庄緣𡢻𠀧生,Ví chăng duyên nợ ba sinh
𢅆湘拂拂𫗄弹,Mành tương phơn phớt gió đàn
氷傾𢖵景𢖵𠊛,Bâng khuâng nhớ cảnh nhớ người
𢖵坭奇遇倍移蹎𠫾,Nhớ nơi kỳ ngộ vội dời chân đi
𱥺澜𦹵木撑荑,Một làn cỏ mọc xanh rì
渃吟𤄯沕𧡊咦女兜,Nước ngâm trong vắt thấy gì nữa đâu
𫗄朝如𢭮干愁,Gió chiều như gợi cơn sầu
芃𦰤休乙如牟摡嘹,Bông lau hiu hắt như màu khơi trêu
鄭𥢅想𠃣情𡗉,Chạnh riêng tưởng ít tình nhiều
侵侵提𡑩藍橋吝𨖅,Xăm xăm đè nẻo Lam Kiều lần sang
審嚴謹槓高墻,Thâm nghiêm kín cổng cao tường
𣴓𣳔𦲿𧺀𢴑塘𪀄撑,Cạn dòng lá thắm dứt đường chim xanh
盧䜹絲柳𢭾𢅆,Lơ thơ tơ liễu buông mành
𡥵莺𭓇呐𨕭梗𠸍𠶣,Con oanh học nói trên cành mỉa mai
𱥯吝𲈾埬杄掑,Mấy lần cửa đóng then cài
𣹓㙴花用別𠊛於兜,Đầy thềm hoa rụng biết người ở đâu
秦垠𥪸𠁸𣇞𥹰,Tần ngần đứng suốt giờ lâu
𨄹𨒺秩𧡊𠃅𡢐固茄,Dạo quanh chợt thấy mái sau có nhà
𱺵茄吳越商家,Là nhà Ngô Việt thương gia
𢩣空底妬𠊛賒猪𧗱,Buồng không để đó người xa chưa về
𥙩條游𭓇𠳨𠾔,Lấy điều du học hỏi thuê
襊弹𥝥冊提携撰𨖅,Túi đàn cặp sách đề huề dọn sang
固𣘃固跢産床,Có cây có đá sẵn sàng
固軒攬翠󰞺鐄渚派,Có hiên Lãm Thuý nét vàng chưa phai
𢜠󰠐准意𫳘排,Mừng thầm chốn ấy chữ bài
𠀧生歐罕緣𡗶之低,Ba sinh âu hẳn duyên trời chi đây
窗糊姅怯𦑃𩄲,Song hồ nửa khép cánh mây
墻東𥊘眜𣈗𣈗恒𬂙,Tường đông ghé mắt ngày ngày hằng trông
𡬷𡬼洞錁原封,Tấc gang động khoá nguyên phong
絶𩂟芇𧡊𩃳紅𠓨𫥨,Tuyệt mù nào thấy bóng hồng vào ra
忍自館客鄰𱺵,Nhẫn từ quán khách lân la
旬𦝄點𦵛𫢩它噡𠄩,Tuần trăng điểm đốt nay đà thèm hai
隔墻沛𣇜淹𡗶,Cách tường phải buổi êm trời
𤲂桃𱻌固𩃳𠊛切他,Dưới đào dường có bóng người thướt tha
𡍙琴捉襖倍𫥨,Buông cầm xốc áo vội ra
香羣𦹳𠽋𠊛它永腥,Hương còn thơm nức người đà vắng tanh
吝蹺墻錦𨄹𨒺,Lần theo tường gấm dạo quanh
𨕭桃落𧡊𱥺梗金釵,Trên đào nhác thấy một cành kim thoa
拁𢬣𢭲𥙩𧗱茄,Giơ tay với lấy về nhà
尼𥪞閨閣兜麻旦低,Này trong khuê các đâu mà đến đây
𡄎歐𠊛意宝尼,Ngẫm âu người ấy báu này
庄緣猪易𠓨𢬣埃扲,Chẳng duyên chưa dễ vào tay ai cầm
連𢬣𥋴𥊘怲𬛩,Liền tay ngắm nghía biếng nằm
唉群倘倘香沉猪派,Hãy còn thoang thoảng hương trầm chưa phai
散霜㐌𧡊𩃳𠊛,Tan sương đã thấy bóng người
𨒺墻𫥨意尋摧謹魚,Quanh tường ra ý tìm tòi ngẩn ngơ
生它固意待除,Sinh đà có ý đợi chờ
隔墻𨖲㗂賒迻懨𢚸,Cách tường lên tiếng xa đưa ướm lòng
釵尼扒特虚空,"""Thoa này bắt được hư không"
別兜合浦麻懞珠𧗱,Biết đâu Hợp Phố mà mong châu về”.
㗂翹𦖑律边箕,Tiếng Kiều nghe lọt bên kia
恩𢚸君子詫咦𧵑淶,"""Ơn lòng quân tử sá gì của rơi"
隻釵芇𧵑𱥯𨑮,Chiếc thoa nào của mấy mươi
麻𢚸重義輕財挈包,Mà lòng trọng nghĩa khinh tài xiết bao
生浪鄰里𫥨𠓨,"Sinh rằng: ""Lân lý ra vào"
𧵆低芇沛𠊛芇賒吹,Gần đây nào phải người nào xa xôi
特𣈙𢘾𡭧𦹳淶,Được rày nhờ chút thơm rơi
計它少𱞐𢚸𠊛閉𫢩,Kể đà thiểu não lòng người bấy nay
𱥯𥹰買特𱥺𣈗,Mấy lâu mới được một ngày
仃蹎𠴞𡭧念西噲𱺵,"Dừng chân gạn chút niềm tây gọi là""."
倍𧗱添𥙩𧵑茄,Vội về thêm lấy của nhà
釧鐄堆隻巾𬗢𱥺𣃱,Xuyến vàng đôi chiếc khăn là một vuông
堛𩄲䠣𨀈𦰟墻,Bậc mây rón bước ngọn tường
沛𠊛𣋚怒𤑟𤉜庄㖇,Phải người hôm nọ rõ ràng chăng nhe
𠶤𠼾𱠎意揬提,Sượng sùng giữ ý rụt dè
几𥆾羨𩈘𠊛𠲖儈頭,Kẻ nhìn rạng mặt người e cúi đầu
浪自偶尔﨤𠑬,"Rằng: ""Từ ngẫu nhĩ gặp nhau"
󰠐𬂙濫𢖵闭𥹰㐌𤶐,Thầm trông trộm nhớ bấy lâu đã chồn
𩩫梅并㐌輸𱱊,Xương mai tính đã thâu mòn
吝𩢬埃別唉群𣋚󰅒,Lần lừa ai biết hãy còn hôm nay
𣎃𧷺如𠳚宮𩄲,Tháng tròn như gửi cung mây
陳陳𱥺分挹𣘃㐌料,Trần trần một phận ấp cây đã liều
便低吀𱥺𠄩條,Tiện đây xin một hai điều
臺𦎛𤐝旦𨁪䕯朱庄,"Đài gương soi đến dấu bèo cho chăng""."
垠魚娘買𠽔浪,Ngần ngừ nàng mới thưa rằng
腿茄氷雪質恒菲葑,"""Thói nhà băng tuyết chất hằng phỉ phong"
油欺𦲿𧺀𥿗紅,Dù khi lá thắm chỉ hồng
𢧚庄時拱在𢚸媄吒,Nên chăng thì cũng tại lòng mẹ cha
𥘀𢚸㤕柳為花,Nặng lòng xót liễu vì hoa
𥘷疎㐌別兜麻監𠽔,"Trẻ thơ đã biết đâu mà dám thưa""."
生浪𣈙𫗄𣈕湄,"Sinh rằng: ""Rày gió mai mưa"
𣈗春㐌易情期𱥯欺,Ngày xuân đã dễ tình cờ mấy khi
油庄𪹾𬌓情𬏝,Dù chăng xét tấm tình si
舌低麻固益咦旦埃,Thiệt đây mà có ích gì đến ai
𡭧之哏咘𱥺𠄩,Chút chi gắn bó một hai
朱仃耒仕料排䋦萌,Cho đành rồi sẽ liệu bài mối manh
囷𤍌油負𡬷誠,Khuôn thiêng dầu phụ tấc thành
拱料補過春撑𱥺𠁀,Cũng liều bỏ quá xuân xanh một đời
量春油決狹𤞑,Lượng xuân dù quyết hẹp hòi
功㧅𲃪拯舌𠻓𡗋油,"Công đeo đuổi chẳng thiệt thòi lắm ru""."
朗𦖑𠳒呐如游,Lặng nghe lời nói như ru
朝春易遣󰞺秋𪿒顒,Chiều xuân dễ khiến nét thu ngại ngùng
浪𥪞𣇜買𨓐𨓡,"Rằng: ""Trong buổi mới lạ lùng"
𢘝𢚸固𨤰扲𢚸朱當,Nể lòng có nhẽ cầm lòng cho đang
㐌𢚸君子多忙,Đã lòng quân tử đa mang
𱥺𠳒𠳐鑿跢鐄始終,"Một lời, vâng! tạc đá vàng thuỷ chung"
特𠳒如𢶒𬌓𢚸,Được lời như cởi tấm lòng
𱠎金釵貝巾紅𢭂𢬣,Giở kim thoa với khăn hồng trao tay
浪𤾓𢆥拱自低,"Rằng: ""Trăm năm cũng từ đây"
𧵑信噲𱥺𡭧尼爫𥱬,"Của tin gọi một chút này làm ghi""."
産𢬣巾錦𦑗葵,Sẵn tay khăn gấm quạt quỳ
貝梗釵意即時𢬭𢭂,Với cành thoa ấy tức thì đổi trao
𱥺𠳒皮哏漆膠,Một lời vừa gắn tất giao
𠃅𡢐𱻌固𠮿嗃㗂𠊛,Mái sau dường có xôn xao tiếng người
倍傍𦲿用花淶,Vội vàng lá rụng hoa rơi
払𧗱院冊娘移樓粧,Chàng về viện sách nàng dời lầu trang
自番跢別歲鐄,Từ phen đá biết tuổi vàng
情強審𤀏胣強謹魚,Tình càng thấm thía dạ càng ngẩn ngơ
滝湘𱥺解農𣻄,Sông Tương một dải nông sờ
边𬂙頭怒边除𡳜箕,Bên trông đầu nọ bên chờ cuối kia
𱥺墻雪阻霜𩂏,Một tường tuyết trở sương che
信春兜易𠫾𧗱朱能,Tin xuân đâu dễ đi về cho năng
